Avg Host Node1 CPU Usage,Host Node1 CPU 0 Usage,Host Node1 CPU 1 Usage,Avg Host Node2 CPU Usage,Host Node2 CPU 0 Usage,Host Node2 CPU 1 Usage,checkoutservice CPU Usage,currencyservice CPU Usage,emailservice CPU Usage,frontend 1 CPU Usage,frontend 2 CPU Usage,loadgenerator CPU Usage,paymentservice CPU Usage,productcatalogservice CPU Usage,recommendationservice 1 CPU Usage,recommendationservice 2 CPU Usage,redis-cart CPU Usage,shippingservice CPU Usage,Average Response Time,Median Response Time,Current Response Time Percentile 95,Current Response Time Percentile 50,Number of Users,current_rps GET /,current_rps GET /cart,current_rps GET /product/0PUK6V6EV0,current_rps GET /product/1YMWWN1N4O,adservice CPU Usage,current_rps GET /product/2ZYFJ3GM2N,current_rps GET /product/66VCHSJNUP,current_rps GET /product/6E92ZMYYFZ,current_rps GET /product/9SIQT8TOJO,current_rps GET /product/L9ECAV7KIM,current_rps GET /product/LS4PSXUNUM,current_rps GET /product/OLJCESPC7Z,current_rps POST /cart,current_rps POST /cart/checkout,current_rps POST /setCurrency,current_rps Aggregated,StressNG 1 CPU Usage,StressNG 2 CPU Usage
34.1,35.4,32.8,33.3,31.8,34.8,0.00816,0.0135,0.0356,0.0068,0.00779,3.97,0.00987,0.00674,0.0387,0.0407,0.233,0.0109,7.12,5,19,5,200,2.1,5.1,2.1,2.5,0.0297,2.5,3.1,2.9,2.9,2.6,2.8,2.1,4.8,1.6,4.3,41.4,0,0
35.4,33.4,37.4,33.8,37.2,30.4,0.0076,0.0135,0.0358,0.00708,0.00769,4.22,0.00987,0.00666,0.0387,0.0408,0.235,0.0115,7.09,5,18,5,200,1.9,5.2,2.4,2.8,0.0296,2.4,2.8,3.2,2.6,3.0,2.3,2.8,5.9,2.4,4.7,44.4,0,0
35.0,37.4,32.6,29.8,31.8,27.8,0.00806,0.0125,0.0361,0.00766,0.00822,4.41,0.0113,0.00666,0.0385,0.0411,0.233,0.011,7.1,5,18,5,200,1.7,5.8,3.0,4.0,0.0289,2.4,2.7,3.6,3.5,2.1,1.8,2.9,6.7,2.5,4.2,46.9,0,0
47.7,52.2,43.2,34.2,31.6,36.8,0.00781,0.0158,0.0347,0.00585,0.00743,3.97,0.01,0.00863,0.0389,0.0401,0.234,0.0103,6.48,5,18,5,300,78.0,12.3,6.25,4.0,0.0298,5.75,7.5,5.5,6.25,5.5,4.75,7.5,11.8,5.0,9.25,169.0,0,0
35.3,36.2,34.4,35.0,32.0,38.0,0.00761,0.0158,0.0345,0.007,0.00782,4.03,0.01,0.0086,0.0389,0.0398,0.23,0.0112,6.64,5,19,5,300,36.6,8.78,5.0,3.56,0.0302,4.67,5.0,4.0,3.67,4.22,4.0,4.33,7.56,2.78,6.11,100.0,0,0
40.4,39.6,41.2,30.2,34.6,25.8,0.00766,0.0156,0.0342,0.00752,0.00772,4.09,0.00994,0.0086,0.0382,0.0397,0.233,0.0122,6.54,5,16,5,300,3.5,7.0,4.3,4.1,0.0301,4.1,4.2,2.7,3.5,4.5,3.8,3.1,7.2,2.6,4.7,59.3,0,0
37.1,35.8,38.4,33.3,30.4,36.2,0.00741,0.0141,0.034,0.00713,0.00736,4.04,0.00994,0.00735,0.0391,0.0392,0.237,0.0112,6.53,5,17,5,300,3.7,7.9,4.3,4.6,0.0299,3.5,4.6,3.3,4.8,4.7,3.9,4.7,9.0,3.4,4.6,67.0,0,0
35.4,37.2,33.6,33.9,29.2,38.6,0.00749,0.0151,0.0342,0.00759,0.00766,4.11,0.00995,0.00735,0.0392,0.0394,0.235,0.0117,6.6,5,19,5,300,3.2,7.1,4.0,4.3,0.0304,3.8,4.1,3.7,3.4,4.6,3.8,4.7,7.9,2.6,4.1,61.3,0,0
38.1,40.2,36.0,33.3,28.8,37.8,0.00686,0.0139,0.0345,0.00726,0.00747,4.28,0.00995,0.00735,0.0393,0.0396,0.236,0.0108,6.67,5,19,5,300,2.8,7.4,4.0,4.2,0.0303,4.8,4.0,3.5,3.1,4.7,4.3,4.1,7.6,2.5,5.3,62.3,0,0
39.6,41.8,37.4,32.1,30.6,33.6,0.00823,0.0149,0.0343,0.00767,0.00779,4.35,0.0108,0.00781,0.0393,0.0395,0.234,0.0108,6.62,5,18,5,300,2.7,8.8,4.1,3.8,0.0304,4.1,4.3,4.0,4.2,3.8,3.4,3.6,8.7,2.9,6.4,64.8,0,0
